n_altas,C_FECHA_CAMBIO_ESTADO
548,2018 1
748,2018 2
1772,2018 3
1860,2018 4
2246,2018 5
1127,2018 6
2703,2018 7
1772,2018 8
2435,2018 9
1911,2018 10
1599,2018 11
1302,2018 12
1509,2018 13
1924,2018 14
1626,2018 15
1504,2018 16
1740,2018 17
1741,2018 18
1526,2018 19
1047,2018 20
1407,2018 21
1778,2018 22
1489,2018 23
1445,2018 24
1484,2018 25
1492,2018 26
1373,2018 27
1502,2018 28
1181,2018 29
1481,2018 30
1605,2018 31
1285,2018 32
1496,2018 33
1158,2018 34
1716,2018 35
1535,2018 36
1400,2018 37
1384,2018 38
1426,2018 39
1604,2018 40
1192,2018 41
1037,2018 42
1223,2018 43
1562,2018 44
1182,2018 45
1269,2018 46
1357,2018 47
1522,2018 48
1192,2018 49
1350,2018 50
1189,2018 51
839,2018 52
1133,2019 1
1088,2019 2
1266,2019 3
1278,2019 4
1257,2019 5
1517,2019 6
1345,2019 7
1315,2019 8
1565,2019 9
1319,2019 10
1048,2019 11
1013,2019 12
847,2019 13
1571,2019 14
1106,2019 15
723,2019 16
1271,2019 17
1081,2019 18
1232,2019 19
1174,2019 20
1145,2019 21
1335,2019 22
1149,2019 23
1380,2019 24
1303,2019 25
1152,2019 26
1174,2019 27
1394,2019 28
1278,2019 29
1484,2019 30
1616,2019 31
1338,2019 32
1502,2019 33
1341,2019 34
1645,2019 35
1702,2019 36
1622,2019 37
1687,2019 38
1826,2019 39
1937,2019 40
1754,2019 41
1390,2019 42
1842,2019 43
1970,2019 44
1627,2019 45
1443,2019 46
1771,2019 47
1926,2019 48
1944,2019 49
1825,2019 50
1859,2019 51
936,2019 52
788,2020 1
1462,2020 2
2229,2020 3
2240,2020 4
2259,2020 5
2315,2020 6
2513,2020 7
2486,2020 8
2518,2020 9
2372,2020 10
2569,2020 11
2853,2020 12
2187,2020 13
3371,2020 14
1703,2020 15
3181,2020 16
2820,2020 17
2403,2020 18
3165,2020 19
3172,2020 20
3147,2020 21
2869,2020 22
3292,2020 23
2952,2020 24
2920,2020 25
3028,2020 26
2838,2020 27
3190,2020 28
2954,2020 29
2720,2020 30
3508,2020 31
3248,2020 32
3769,2020 33
3278,2020 34
3794,2020 35
3301,2020 36
3121,2020 37
2868,2020 38
2792,2020 39
3341,2020 40
3002,2020 41
2764,2020 42
3117,2020 43
3077,2020 44
2664,2020 45
2624,2020 46
2282,2020 47
2800,2020 48
2858,2020 49
2133,2020 50
2398,2020 51
1422,2020 52
1188,2020 53
2482,2021 1
2430,2021 2
2931,2021 3
3007,2021 4
3057,2021 5
3406,2021 6
3627,2021 7
3517,2021 8
3528,2021 9
3241,2021 10
3113,2021 11
2833,2021 12
2185,2021 13
3540,2021 14
3001,2021 15
3025,2021 16
2664,2021 17
3067,2021 18
2995,2021 19
2508,2021 20
2904,2021 21
3025,2021 22
2531,2021 23
2586,2021 24
2803,2021 25
3509,2021 26
2649,2021 27
3282,2021 28
2732,2021 29
3480,2021 30
3089,2021 31
3640,2021 32
2800,2021 33
3344,2021 34
3377,2021 35
3259,2021 36
3082,2021 37
2949,2021 38
3057,2021 39
3333,2021 40
3016,2021 41
2462,2021 42
3014,2021 43
2544,2021 44
2637,2021 45
2214,2021 46
2961,2021 47
3063,2021 48
2469,2021 49
2955,2021 50
2085,2021 51
1667,2021 52
232,2021 53
2500,2022 1
2828,2022 2
3793,2022 3
3919,2022 4
4139,2022 5
4036,2022 6
4276,2022 7
4188,2022 8
3981,2022 9
3822,2022 10
3995,2022 11
3523,2022 12
4052,2022 13
4038,2022 14
2346,2022 15
3706,2022 16
3733,2022 17
3624,2022 18
3428,2022 19
3359,2022 20
3876,2022 21
3345,2022 22
3890,2022 23
3669,2022 24
3061,2022 25
3107,2022 26
3158,2022 27
3922,2022 28
3245,2022 29
3990,2022 30
4262,2022 31
4085,2022 32
3599,2022 33
4157,2022 34
4146,2022 35
